policy_id,customer_id,policy_type,insurance_company,branch,start_date,end_date,policy_duration_years,premium_amount,coverage_amount,vehicle_brand,vehicle_model,vehicle_year,vehicle_value,claim_history,status,payment_type,created_date
63fec4d1-4016-458e-84cd-ff756667ae65,815d545c-ab67-4edb-a5de-8741fab9bc9a,Third Party,SecureDrive Insurance,Delhi NCR,2024-07-06,2029-07-05,5,1900,100000,Maruti Suzuki,Ertiga,2024,770000,2,Cancelled,Upfront,2024-07-06
0e853acc-0259-4bd3-96b5-798f3a5bf026,4f4551d5-c918-4be6-96ce-f8834ffe9b91,Comprehensive,SecureDrive Insurance,Chennai Marina,2023-07-15,2024-07-14,1,11700,220000,Maruti Suzuki,WagonR,2020,230000,0,Active,Upfront,2023-07-15
8967b0ef-0b4c-4fd2-96f8-4d675941a979,3f340b29-ed58-48b7-a3c7-bbc4e7696b1e,Comprehensive,SecureDrive Insurance,Kolkata Central,2023-07-07,2024-07-06,1,12200,210000,Hyundai,i20,2017,200000,3,Expired,Upfront,2023-07-07
4ebc62b8-a4c5-4924-9231-57382f331a72,d21205a1-d470-4e64-a5e4-c3b7caed367c,Comprehensive,SecureDrive Insurance,Lucknow City Center,2023-05-06,2026-05-05,3,11900,340000,Maruti Suzuki,Alto,2024,350000,0,Active,Upfront,2023-05-06
74331e37-bb9a-47cb-b1bd-aa9f44ccb10b,36a7e916-a53b-4599-ab6a-0c59e442d28e,Third Party,SecureDrive Insurance,Kolkata Central,2024-06-23,2025-06-23,1,1200,50000,Maruti Suzuki,WagonR,2022,320000,2,Expired,Upfront,2024-06-23
7f303812-55f4-418c-a0b2-a8cc85bdf682,d1125d0f-66b0-4016-ba92-c1abb76d15ef,Comprehensive,SecureDrive Insurance,Bangalore Tech Park,2025-06-07,2028-06-06,3,20000,480000,Mahindra,Bolero,2022,470000,0,Expired,Upfront,2025-06-07
df959283-a99c-422c-a7f5-ce5557807330,8ceaeaf7-a212-4afd-aa57-93e1f3295245,Comprehensive,SecureDrive Insurance,Delhi NCR,2023-03-05,2024-03-04,1,7000,120000,Maruti Suzuki,Swift,2015,120000,3,Active,Upfront,2023-03-05
5f6ce485-1d72-4d9a-a4f1-abbe3387ddbf,4d64dda1-eb05-46f9-8afe-cc0ed7d63585,Comprehensive,SecureDrive Insurance,Lucknow City Center,2024-07-17,2025-07-17,1,7200,130000,Maruti Suzuki,WagonR,2016,120000,2,Cancelled,Upfront,2024-07-17
e0987c96-59f5-4fbf-aa45-cbbf991ab01f,8743efb7-9b66-4767-aeba-865499e6b68e,Comprehensive,SecureDrive Insurance,Pune IT Park,2024-09-22,2027-09-22,3,24200,500000,Maruti Suzuki,Baleno,2023,490000,0,Expired,Upfront,2024-09-22
818e7be9-d936-4fd6-9e7c-58acd49b152c,7fef3861-5625-4a18-82a0-c04ef9b06e03,Comprehensive,SecureDrive Insurance,Delhi NCR,2023-10-07,2026-10-06,3,17000,310000,Maruti Suzuki,Alto,2024,330000,2,Expired,Upfront,2023-10-07
a2d7cba4-6732-4cd0-874e-9f06411ebea5,f6c7f2a9-3940-4d56-bb2d-670951209544,Comprehensive,SecureDrive Insurance,Bangalore Tech Park,2025-05-14,2028-05-13,3,29400,540000,Tata Motors,Altroz,2023,500000,3,Expired,Upfront,2025-05-14
64a3b19e-1b1f-4dc9-a268-3b62f8a93d65,b486c86c-db2e-41fc-bd66-e4369f95911d,Comprehensive,SecureDrive Insurance,Chennai Marina,2024-08-01,2025-08-01,1,14600,310000,Maruti Suzuki,Ertiga,2019,320000,1,Active,Upfront,2024-08-01
b224ffd1-2b1e-44d3-a670-3879fb395c95,bc9e4528-716e-4a88-a3a8-5173bcf5b4fe,Comprehensive,SecureDrive Insurance,Chennai Marina,2025-06-07,2028-06-06,3,26800,570000,Hyundai,Verna,2022,540000,3,Active,Upfront,2025-06-07
