claim_id,policy_id,customer_id,claim_type,claim_date,claim_amount,status,settlement_date,settlement_amount,branch
1cab4c8f-455a-465f-85d3-bb09eb63355e,6f742b46-0958-4394-be21-bf99a21fc9b7,3b36487d-ab19-4a7e-95f9-1aa2ef6ccfe3,Third Party Damage,2024-12-28,27719,Under Review,,,Delhi NCR
1a9225b5-b779-4c80-b123-3f6d5bcec5be,c263bec0-9241-4b96-8123-aba455b70b77,b2c29b28-35ac-48ef-8f82-5ad77fc508b1,Accident,2024-08-25,100000,Approved,,,Mumbai Central
87cf6295-9cf0-4249-94fa-4185355db24e,bbf509b3-836e-4d68-8228-ffdfc55ba5cc,f8255f86-9cf5-4813-96b7-a4b71bb09746,Third Party Damage,2027-10-23,90000,Pending,,,Hyderabad Hitech
fb4ada7d-43d5-4016-a692-26db4878a270,bb2565de-ede2-4f7d-91d8-213b60c9f0d5,d6d332cd-d6e5-4c00-b0ff-e3c791779318,Third Party Damage,2023-09-10,189428,Pending,,,Jaipur Business Park
efa845da-00c6-40e3-9fa2-aeb8af5c52c7,bd12a120-fdd4-49f0-9d75-7bca5cb961d4,c0a0fd09-7b45-4671-bf58-2a21059da961,Accident,2025-07-31,70000,Settled,2025-09-16,66173.0,Lucknow City Center
1b0d88db-5520-43ed-8675-73445edebdd9,8d62b274-db36-4e9e-9103-2af30a26ba45,0fe7126f-6bd3-4ea0-980f-a5a4c81f04f0,Own Damage,2024-05-26,336267,Settled,2024-06-18,325670.0,Chennai Marina
416d71e1-25a2-4dac-9a3d-99561715fa33,4f7d334b-1697-4c16-8580-438c96e35376,288cb457-3d3e-42ba-adcc-5a3d27843f89,Accident,2023-08-04,253149,Rejected,,,Lucknow City Center
e0d09249-1386-4e99-8a2b-aed3c02535c0,1ce6d3a9-0c85-44b7-b092-2a679e412789,936509af-3a7a-499e-be61-2a0d6170e6da,Accident,2024-12-25,266190,Settled,2025-03-14,241617.0,Lucknow City Center
fdcf65ed-c34e-487a-9835-9aae706c767c,76ee5879-ec55-48d9-a1ea-7f6e7f7f886d,497ca452-6dc0-49ab-867a-7ef733520e42,Own Damage,2025-02-09,112844,Settled,2025-05-04,106112.0,Kolkata Central
949a69dc-ba4a-45da-9af3-0f0c0db64814,88e1b6e2-9669-436d-a6fa-d932d3a5d908,1c61edbb-e392-4970-b1b4-6d57d3eaf468,Own Damage,2025-06-23,70000,Settled,2025-07-30,68617.0,Jaipur Business Park
d2981e72-e7a1-4909-946f-d6f10dc994ec,4fe873ed-640e-4e54-9f52-bd5d4536ed93,71cb7c48-865e-4453-91f6-1fbebc98fe42,Accident,2024-05-16,166409,Settled,2024-07-29,151294.0,Bangalore Tech Park
c339d0ab-05ba-4467-b5e8-f0f19304f058,ad988f76-583a-41fe-948b-6221b58e57a9,4f364704-77dc-400c-bd71-50d4564d14e0,Theft,2026-01-30,540000,Pending,,,Chennai Marina
2da10a67-0e22-41d3-b56e-c0a23a9be1a7,f943aaf7-36c1-4507-8b2f-a6c11e4fcb31,06c7240f-6f88-4081-a9ef-9b93513530c0,Natural Disaster,2025-04-23,60000,Settled,2025-05-11,59042.0,Kolkata Central
a7caf441-7481-4c32-b615-018da92c226a,bc1f4f30-089c-41ff-9651-b3b233733abe,55f17843-b731-4e01-b447-c9eeaa690d02,Third Party Damage,2026-12-16,79155,Settled,2027-02-23,72174.0,Pune IT Park
ed54e670-5919-47a9-8297-a640b31e0267,ab87ee3d-2abb-4b09-8939-b26864b99281,68f1aa8f-664a-494d-bfe3-2533f5b88ef7,Accident,2024-03-20,99190,Under Review,,,Delhi NCR
5390255f-93fe-4cb3-8e05-5da090c88031,84ac2456-12c8-4414-ad0d-05d197e04faf,b486c86c-db2e-41fc-bd66-e4369f95911d,Natural Disaster,2023-12-27,202519,Approved,,,Chennai Marina
02577d85-2ff3-46d6-8a89-27fbf21b7147,cbb04c3e-a307-47e1-94cc-52e184e3e99a,c59171e9-1589-43df-b923-9b6b09e393a8,Accident,2023-06-07,58929,Approved,,,Delhi NCR
cffda7b7-fab3-4c73-9db2-0fd6ce1fcad0,aaab6b50-4ece-45ad-867f-e9c48759e9af,5a56db22-8740-4867-b185-dd19facf4564,Accident,2023-06-17,207024,Settled,2023-08-11,205827.0,Mumbai Central
08a987ea-a314-4912-896e-47bf237366f8,c98963f8-4c64-4c7e-a650-2245645a3b40,60e7fd42-b88f-4237-bd2e-031da099501b,Own Damage,2023-07-21,70000,Pending,,,Pune IT Park
4843066d-dc9f-4ae0-9884-c9039cabad21,a2d7cba4-6732-4cd0-874e-9f06411ebea5,f6c7f2a9-3940-4d56-bb2d-670951209544,Accident,2028-04-03,340326,Settled,2028-05-27,325071.0,Bangalore Tech Park
0f55c9de-bab3-41e2-a112-10fd6f465885,51ef1ad8-c3bd-4865-af86-da01d0c9f5c5,5af4f66d-5d70-47a4-a5a7-276d5b185146,Own Damage,2025-01-08,113284,Settled,2025-01-30,109971.0,Ahmedabad Corporate
68aa35d5-5643-43e5-80b9-cccbb2af1cea,94be684d-9013-4699-96a8-967549ebea05,3f1133aa-0703-4dd8-8c5d-b9d480ea3e37,Own Damage,2027-11-13,97660,Settled,2028-02-08,88344.0,Jaipur Business Park
e55df11d-0f4f-4f8e-8ad0-2a84f1fecbe9,56d937e7-11a2-4aed-9687-ae74e1253984,10f57319-1d44-49f4-8a89-609d6ee00b75,Own Damage,2025-02-08,52569,Settled,2025-04-21,48129.0,Pune IT Park
f7bc1d6e-e3ed-4d59-80f5-a605acbc69f8,18aa8d8e-cfe7-4a23-bf72-e4909f650945,45bf1fdb-ba02-43c8-aa57-f53a11169d33,Accident,2024-02-08,100000,Approved,,,Pune IT Park
b6a651be-d880-4454-ae22-84b504039f14,a2fcd759-d291-40b8-8c57-2a7134611265,253f90fc-3ca1-402b-91f9-03cd54c986a5,Accident,2025-04-07,322812,Approved,,,Mumbai Central
47d0ead4-f8e8-4733-a5ff-b3234e6875ce,674561d8-a797-4b0d-a263-67fd7effebb7,9c114e42-af78-4cef-aec6-3b6c5e94c6ca,Accident,2023-11-14,20000,Settled,2023-12-31,19629.0,Lucknow City Center
2e86efde-04f7-4ab3-a93c-5202c36702b4,163101f7-18bc-43d2-91cd-b2b1721fd93f,04b32e8b-d3fc-4063-9690-31c73c8914c0,Own Damage,2025-03-02,168071,Settled,2025-05-27,155062.0,Mumbai Central
a9b19cf7-4d9c-406e-9358-992038f13a15,42490982-b2ae-4fa4-8b33-c55818f55875,16146410-46b8-4ebc-9d6d-3941a2619357,Own Damage,2024-07-28,20000,Settled,2024-09-03,18269.0,Kolkata Central
439abef6-9c7a-4d9d-9c27-8dc58a140158,bbbfed1f-94a6-4676-9ec2-0105697d2a6c,ba742878-9c44-4b30-927f-b0cc7857ee7d,Own Damage,2024-01-16,215031,Rejected,,,Mumbai Central
67e027f7-eb4a-4a30-916b-a6611159edf6,0eb9c318-d65b-4734-aeb2-3dd61ca6f225,53ac5378-f052-4c96-af0f-5d9ef2d9e0b7,Theft,2024-03-30,210000,Settled,2024-06-10,201811.0,Pune IT Park
08d9b481-9fa2-483a-bfee-3c41b65cd221,91967afd-1c96-41c0-ae3b-4e1f502afa95,9a125619-8964-43a9-ba3f-c9847188e740,Accident,2024-12-05,197895,Settled,2025-01-03,192316.0,Jaipur Business Park
c09b8bfc-d8ea-4b57-98a5-b46f0cc6f36a,6a964d19-dbad-4f8d-9243-cbf4c0ab8d72,daaae949-195c-4930-9d81-6fc7d15646df,Accident,2025-01-17,50000,Settled,2025-04-05,45406.0,Ahmedabad Corporate
497daa19-0b4b-40e1-8801-68607921ab0d,e404870d-103a-4eee-a96a-86281e11af1d,8a6d01d0-e3ff-4e60-8b42-02ae2ea1c37a,Own Damage,2023-12-05,67099,Under Review,,,Delhi NCR
63fa1b34-8e9b-42f5-8a15-615893e7f660,79632366-5ca3-4935-bce6-9250e02a3b53,c2212593-effb-4295-a29e-dc74a7cb233b,Own Damage,2026-01-30,50134,Settled,2026-02-27,45776.0,Mumbai Central
0f50a50c-b618-4fe3-ab41-74f45d382b19,04319ca7-04f5-49c9-bd57-6bcf44454832,3401d49f-54e7-4397-9735-fb96eafeee37,Own Damage,2023-03-20,125159,Settled,2023-04-19,123401.0,Chennai Marina
3a3fea2c-ffa2-4391-b258-b3604786ff8d,610cf922-5625-485a-9ed6-d4069ed07e41,cbe937ea-1eb7-4af7-975b-2aafcb18592e,Accident,2025-11-23,277966,Under Review,,,Lucknow City Center
9a6bb9e6-32b4-43cc-ac63-1e20200160d1,d200161b-5184-41db-aec5-6597fe08560e,c8a9f137-3bd6-4fe4-ac16-de231b0fd78d,Accident,2023-09-04,40000,Settled,2023-10-10,37329.0,Kolkata Central
beac54e0-86f2-428d-91e5-2a02b11923e4,ea4cd7fa-f6ea-4885-8c0d-d08f489b58e3,6108dd9d-87c1-4c8a-b813-f33224fa821d,Third Party Damage,2025-06-14,27926,Pending,,,Ahmedabad Corporate
8d0ac30a-f3c6-4dcf-a35c-393396a89d88,ad111bfb-f90b-4596-a8b0-18cfebbabdf2,032f0900-c9e0-4bf0-b99b-4f8e43cbf63f,Own Damage,2023-08-11,129426,Pending,,,Chennai Marina
261e31f5-dc41-4269-bbe1-8260640c9e7b,fb70f884-9b47-4250-b164-9d96e3952415,8ff867c6-bb91-4481-a931-62d4db0fb4f8,Natural Disaster,2024-06-25,459091,Under Review,,,Mumbai Central
2c6fd368-bd58-4b12-87b5-eb2283e4dbd0,a1e78be2-198f-42b6-a491-8163a054f411,6078dc81-e956-4f25-b508-4f13954d45ab,Accident,2025-04-21,162149,Pending,,,Mumbai Central
d78d49d7-1db6-408b-b4a8-3db7a2552a11,60d02761-d1f6-46e8-946d-b0d0c2141515,5b37d91b-9976-41e6-a477-ef885ba46802,Accident,2025-03-23,55036,Settled,2025-06-15,52491.0,Ahmedabad Corporate
e96f5cef-dc52-4a62-819f-be148d61f59c,14980580-b5df-45e5-9fbf-f6371b26a7d9,1bb6bc9f-bad5-420f-9734-72e226a1e7eb,Accident,2024-09-04,104392,Pending,,,Lucknow City Center
73f253d6-ca97-4296-acf3-f7c31608d8c2,23c09a80-7e23-4634-b0c1-9ea249ca405d,94414c8a-fa85-4c23-a9ef-b36b749a0255,Own Damage,2026-10-02,99620,Settled,2026-11-13,97089.0,Pune IT Park
2cc1bdcf-f234-4e22-b3c9-92a3eaa3837c,8159ff54-b835-4788-ab31-70c3c47b14d5,eb7c74a8-f3dd-46e0-96c3-7c88554fa438,Own Damage,2023-11-23,160000,Settled,2024-01-12,148718.0,Chennai Marina
80792ee0-3a9c-4d40-a737-851b8d74f263,144231ec-552f-43df-9768-1ce90ba868b1,147b23ee-1347-44f6-a9e6-c0a79f9b5b61,Own Damage,2023-05-19,318234,Settled,2023-07-28,318203.0,Chennai Marina
67fa6275-fd56-4dff-b416-4b5479a0a31a,2cfc40ee-1eb6-40a1-95f7-e17e55f69822,52092772-c5e7-4ca7-b39e-2e3e246c923b,Accident,2025-08-16,375086,Approved,,,Bangalore Tech Park
20a076e9-13b1-4c5b-afe8-93234689e566,81d6b6db-a686-4769-9b61-3f66e0443f05,040b0db6-f7ec-4df4-87c8-f4723b2a882f,Accident,2024-07-07,79835,Approved,,,Chennai Marina
6d2ff69c-3e96-406b-8371-306ef59e6900,16b79a2d-2496-4b5f-a91f-01266750b3c9,a42bd711-aed8-4c5d-8b0a-45b145882fdb,Third Party Damage,2024-07-24,26021,Settled,2024-08-29,24583.0,Lucknow City Center
08a20a5e-67d4-4601-a587-52c4bfaa47e4,3df1bacf-4c6f-4444-8a6d-7bc9f9dc69ae,36a7e916-a53b-4599-ab6a-0c59e442d28e,Own Damage,2023-06-19,44342,Settled,2023-07-27,41657.0,Kolkata Central
9a0f5651-08d0-40d7-b40a-b56735e32296,7539b2e1-927e-47c5-8488-cf94d48e4d0a,a42bd711-aed8-4c5d-8b0a-45b145882fdb,Accident,2025-07-28,143056,Pending,,,Lucknow City Center
317b81b4-8167-405a-9be9-65d6401ac218,2a6a00da-293b-42b4-9237-ea8546337e76,5af4f66d-5d70-47a4-a5a7-276d5b185146,Third Party Damage,2023-11-21,22094,Settled,2024-01-11,21013.0,Ahmedabad Corporate
f23ba87e-b71e-4577-9f18-6d925f8d159c,3aa2dc2d-58ae-45fc-907d-999398531169,07b34048-ea55-4f4e-b392-c90bdc973fa1,Own Damage,2024-03-15,30000,Rejected,,,Hyderabad Hitech
af555be2-af0b-415f-a0ba-16eb84892041,18179439-cc3a-4c2a-8b1b-0f2b6527e880,cd02bc77-dcfd-4f69-8a05-26e28e5905d2,Accident,2025-05-24,295313,Settled,2025-07-20,281509.0,Mumbai Central
217d0733-7869-4377-a916-a729ad69e8ee,4b264686-9430-4e3d-86ab-99b5fe7d5165,fe914ce0-3d48-484d-a653-68814c80b279,Third Party Damage,2024-10-21,18377,Settled,2024-12-07,17587.0,Bangalore Tech Park
9504327f-7915-430d-a6da-fd47bad6f0bb,8d92c07e-2b4a-41f2-bea9-cfc4b78eb298,1d4f9adc-482f-49ca-ac52-a170f52f3c91,Own Damage,2024-12-20,114583,Under Review,,,Delhi NCR
